"filename", "language", "HTML", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\routes\sale.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 13, 95
"c:\Users\conta\Desktop\project\server\src\routes\sales_history.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\conta\Desktop\project\server\src\routes\search.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 10, 84
"c:\Users\conta\Desktop\project\server\src\routes\shop-com-free.ts", "TypeScript", 0, 393, 0, 0, 0, 0, 5, 70, 468
"c:\Users\conta\Desktop\project\server\src\routes\shop-signup-create.ts", "TypeScript", 0, 481, 0, 0, 0, 0, 6, 94, 581
"c:\Users\conta\Desktop\project\server\src\routes\shop-signup.ts", "TypeScript", 0, 176, 0, 0, 0, 0, 0, 19, 195
"c:\Users\conta\Desktop\project\server\src\routes\shop_info.ts", "TypeScript", 0, 121, 0, 0, 0, 0, 0, 20, 141
"c:\Users\conta\Desktop\project\server\src\routes\shop_info_edit.ts", "TypeScript", 0, 481, 0, 0, 0, 0, 2, 90, 573
"c:\Users\conta\Desktop\project\server\src\routes\star_history.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\conta\Desktop\project\server\src\routes\suggest_words.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 23, 102
"c:\Users\conta\Desktop\project\server\src\routes\test.ts", "TypeScript", 0, 355, 0, 0, 0, 0, 3, 72, 430
"c:\Users\conta\Desktop\project\server\src\routes\transfar.ts", "TypeScript", 0, 210, 0, 0, 0, 0, 1, 51, 262
"c:\Users\conta\Desktop\project\server\src\routes\uriagekin_history.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\conta\Desktop\project\server\src\routes\user-edit.ts", "TypeScript", 0, 307, 0, 0, 0, 0, 0, 49, 356
"c:\Users\conta\Desktop\project\server\src\routes\users.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 33, 235
"c:\Users\conta\Desktop\project\server\src\routes\video.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\conta\Desktop\project\server\src\routes\watch_history.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\conta\Desktop\project\server\src\scripts\fetchBanksAndBranches.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\Users\conta\Desktop\project\server\src\services\addressService.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 8, 54
"c:\Users\conta\Desktop\project\server\src\services\adminDeleteItem.ts", "TypeScript", 0, 141, 0, 0, 0, 0, 1, 29, 171
"c:\Users\conta\Desktop\project\server\src\services\deleteUser.ts", "TypeScript", 0, 263, 0, 0, 0, 0, 2, 48, 313
"c:\Users\conta\Desktop\project\server\src\services\findOrCreateBrand.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\conta\Desktop\project\server\src\services\itemCopyUpload.ts", "TypeScript", 0, 135, 0, 0, 0, 0, 0, 26, 161
"c:\Users\conta\Desktop\project\server\src\services\moveToGlacier.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\Users\conta\Desktop\project\server\src\types\custom.d.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\conta\Desktop\project\server\src\types\express.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\conta\Desktop\project\server\src\types\itemAttributes.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\conta\Desktop\project\server\src\types\purchaseSnapshot.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\conta\Desktop\project\server\src\utils\jwtHelper.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\conta\Desktop\project\server\src\utils\normalizeJapanese.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\conta\Desktop\project\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\Users\conta\Desktop\project\server\tsconfig.tsbuildinfo", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\conta\Desktop\project\server\views\error.ejs", "HTML", 10, 0, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 10, 16501, 133, 6883, 27, 7, 101, 2496, 26158
